
sales_date,menu,qty,nett_sales,total_after_bill_discount
2024-01-03,Americano,20,200000,200000
2024-01-04,Latte,15,180000,180000
2024-01-10,Americano,12,120000,120000
2024-02-01,Latte,18,216000,216000
2024-02-05,Cappuccino,10,130000,130000
2024-03-01,Americano,22,220000,220000
2024-03-15,Latte,19,228000,228000
2024-04-01,Americano,25,250000,250000
2024-05-01,Latte,21,252000,252000
2024-06-01,Cappuccino,14,182000,182000
2024-07-01,Americano,30,300000,300000
2024-08-01,Latte,24,288000,288000
2024-09-01,Americano,28,280000,280000
2024-10-01,Cappuccino,16,208000,208000
2024-11-01,Latte,26,312000,312000
2024-12-01,Americano,35,350000,350000
